course,file_name,page,question_type,question,ground_truth,context
AI Tools,Lec4 Convolution Neural Networks.pdf,2,Definition,What is a feature vector in the context of CNN?,A set of high-level features extracted by each layer of the network,"Convolution Neural Networks
Imagine a factory production line. The raw materials are passed via conveyer
belt, with each subsequent layer extracting a different set of high-level
features. If the network is intended to recognize an object, the feature vector
might includes the color, edges, textures and shapes.
Production Line Scenario
Defected
…
…
…
Output 
Class labels
Class 1
"
AI Tools,Lec4 Convolution Neural Networks.pdf,2,Concept,What is the purpose of each layer in a CNN production line?,To extract a different set of high-level features,"Convolution Neural Networks
Imagine a factory production line. The raw materials are passed via conveyer
belt, with each subsequent layer extracting a different set of high-level
features. If the network is intended to recognize an object, the feature vector
might includes the color, edges, textures and shapes.
Production Line Scenario
Defected
…
…
…
Output 
Class labels
Class 1
"
AI Tools,Lec4 Convolution Neural Networks.pdf,2,Application,What is the output of a CNN production line?,Class labels,"Convolution Neural Networks
Imagine a factory production line. The raw materials are passed via conveyer
belt, with each subsequent layer extracting a different set of high-level
features. If the network is intended to recognize an object, the feature vector
might includes the color, edges, textures and shapes.
Production Line Scenario
Defected
…
…
…
Output 
Class labels
Class 1
"
AI Tools,Lec4 Convolution Neural Networks.pdf,28,Definition,What is FC?,Fully Connected layers,"Convolutional Neural Networks CNN
Why fully connected?
Each neuron connects to every element in the flattened
vector.
Allows complex, non-linear combinations of high-level
features.
Softmax: Converts scores to probabilities that sum to 1.
Flattening converts learned spatial 
feature maps into a vector, then FC-
layers combine these features non-
linearly, ending with softmax to turn 
raw class scores into probabilities, 
CNN learns the entire pipeline from 
pixels to probabilities end-to-end.
"
AI Tools,Lec4 Convolution Neural Networks.pdf,28,Function,What does Softmax do?,Converts scores to probabilities that sum to 1,"Convolutional Neural Networks CNN
Why fully connected?
Each neuron connects to every element in the flattened
vector.
Allows complex, non-linear combinations of high-level
features.
Softmax: Converts scores to probabilities that sum to 1.
Flattening converts learned spatial 
feature maps into a vector, then FC-
layers combine these features non-
linearly, ending with softmax to turn 
raw class scores into probabilities, 
CNN learns the entire pipeline from 
pixels to probabilities end-to-end.
"
AI Tools,Lec4 Convolution Neural Networks.pdf,28,Concept,What is flattening in CNN?,Converts learned spatial feature maps into a vector,"Convolutional Neural Networks CNN
Why fully connected?
Each neuron connects to every element in the flattened
vector.
Allows complex, non-linear combinations of high-level
features.
Softmax: Converts scores to probabilities that sum to 1.
Flattening converts learned spatial 
feature maps into a vector, then FC-
layers combine these features non-
linearly, ending with softmax to turn 
raw class scores into probabilities, 
CNN learns the entire pipeline from 
pixels to probabilities end-to-end.
"
AI Tools,Lec3 CV DIP Fundamentals PI II.pdf,5,Definition,What is a spatial filter?,A window with some width and height that is usually much less than that of the image.,"CNN Convolution Concept
Convolution: It is the process of applying a filter (kernel) to an image to extract features or
modify the image (blurring, sharpening, edge detection, etc.).
Do we Need Padding?
Convolution = sliding a kernel over an image, multiplying and summing at each
position.
The spatial filter is a window with some width and height that is usually much less than
that of the image. Mostly 3×3, 5×5 or 7×7 size filters are used. The values in the filter are
called coefficients or weights. There are other terms to call filters such as mask, kernel,
template, or window. An example of spatial filter is shown above.
"
AI Tools,Lec3 CV DIP Fundamentals PI II.pdf,5,Definition,What are the values in the filter called?,Coefficients or weights,"CNN Convolution Concept
Convolution: It is the process of applying a filter (kernel) to an image to extract features or
modify the image (blurring, sharpening, edge detection, etc.).
Do we Need Padding?
Convolution = sliding a kernel over an image, multiplying and summing at each
position.
The spatial filter is a window with some width and height that is usually much less than
that of the image. Mostly 3×3, 5×5 or 7×7 size filters are used. The values in the filter are
called coefficients or weights. There are other terms to call filters such as mask, kernel,
template, or window. An example of spatial filter is shown above.
"
AI Tools,Lec3 CV DIP Fundamentals PI II.pdf,5,Definition,What are other terms to call filters?,"Mask, kernel, template, or window","CNN Convolution Concept
Convolution: It is the process of applying a filter (kernel) to an image to extract features or
modify the image (blurring, sharpening, edge detection, etc.).
Do we Need Padding?
Convolution = sliding a kernel over an image, multiplying and summing at each
position.
The spatial filter is a window with some width and height that is usually much less than
that of the image. Mostly 3×3, 5×5 or 7×7 size filters are used. The values in the filter are
called coefficients or weights. There are other terms to call filters such as mask, kernel,
template, or window. An example of spatial filter is shown above.
"
AI Tools,Lec3 CV DIP Fundamentals PI II.pdf,25,Definition,What is an image gradient?,A directional change in the intensity in an image,"An image gradient is a directional change in the intensity in
an image. The image gradient is one of the fundamental
building blocks in image processing.
Image gradients have been used as a measure of image
sharpness. The gradient at any pixel is the derivative of the
values of neighbouring pixels.
Generally sharper images have higher gradient values. Thus,
any
image
fusion
method
should
result
in
increased
gradient values because this process makes the images
sharper compared to the low resolution image.
Sharpening is opposite to the blurring. In blurring, we reduce the edge
content and in Sharpening, we increase the edge content.
Intermediate Gradient
"
